09:07:30:615 [ALWAYS]	GUDE Logging Started
09:07:30:615 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:07:30:615 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:07:30:615 [ERROR]	Initialize resume cache pointer failure
09:07:30:615 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:07:30:615 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:07:36:493 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:07:36:493 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:07:36:493 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:07:36:493 [ERROR]	Initialize resume cache pointer failure
09:07:36:494 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:07:36:494 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
