07:25:46:384 [ALWAYS]	GUDE Logging Started
07:25:46:384 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:25:46:384 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:25:46:384 [ERROR]	Initialize resume cache pointer failure
07:25:46:385 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
07:25:46:385 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:25:52:990 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
07:25:52:990 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:25:52:990 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:25:52:990 [ERROR]	Initialize resume cache pointer failure
07:25:52:990 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
07:25:52:990 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
