01:15:12:332 [ALWAYS]	GUDE Logging Started
01:15:12:333 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:15:12:333 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:15:12:333 [ERROR]	Initialize resume cache pointer failure
01:15:12:333 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:15:12:333 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:15:18:633 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:15:18:633 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:15:18:633 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:15:18:633 [ERROR]	Initialize resume cache pointer failure
01:15:18:633 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:15:18:633 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
